,Temp,Species,Family,region,Crosstype,N,mean,sd,se,ci,Mom,Dad
61,HOT,A.ten,JEW8xDAV13,hybrid,Individual,9,97.75533109,4.482669009,1.494223003,3.445684424,Jewell8,Davies13
62,HOT,A.ten,JEW8xDAV6,hybrid,Individual,9,68.51851852,34.20476095,11.40158698,26.29210673,Jewell8,Davies6
63,HOT,A.ten,JEW8xJEW2,north,Individual,9,87.21340388,16.76297028,5.587656759,12.88515959,Jewell8,Jewell2
64,HOT,A.ten,JEW8xJEW3,north,Individual,9,82.93650794,33.20553734,11.06851245,25.52403547,Jewell8,Jewell3
65,HOT,A.ten,JEW8xPAL1,hybrid,Individual,9,74.15343915,10.47491274,3.49163758,8.051730699,Jewell8,Palms1
66,HOT,A.ten,JEW8xPAL4,hybrid,Individual,9,79.32098765,22.93228909,7.644096362,17.62731782,Jewell8,Palms4
67,HOT,A.ten,JEW8xPAL5,hybrid,Individual,9,91.82539683,12.44944425,4.14981475,9.569489974,Jewell8,Palms5
68,HOT,A.ten,PAL2xDAV1,central,Individual,9,70.83333333,41.45780988,13.81926996,31.86729367,Palms2,Davies1
69,HOT,A.ten,PAL2xPAL5,central,Individual,9,93.14814815,10.48955977,3.496519924,8.062989403,Palms2,Palms5
70,HOT,A.ten,PAL4xDAV1,central,Individual,8,58.33333333,26.35231383,9.316949906,22.0310857,Palms4,Davies1
71,HOT,A.ten,PAL4xPAL2,central,Individual,9,71.38888889,31.99392303,10.66464101,24.59270627,Palms4,Palms2
72,HOT,A.ten,PAL5xPAL4,central,Individual,9,63.51851852,39.777545,13.25918167,30.57572775,Palms5,Palms4
73,HOT,A.ten,PAR2xPAR5,north,Individual,9,79.25925926,21.94498263,7.314994209,16.8684069,Parke2,Parke5
74,HOT,A.ten,PAR4xDAV1,hybrid,Individual,9,85.18518519,22.3520513,7.450683768,17.18130758,Parke4,Davies1
75,HOT,A.ten,PAR4xPAR2,north,Individual,9,80.55555556,24.42391815,8.14130605,18.77388542,Parke4,Parke2
76,HOT,A.ten,PAR5xDAV10,hybrid,Individual,8,81.55934343,17.4601328,6.173089151,14.59703631,Parke5,Davies10
77,HOT,A.ten,PAR5xDAV6,hybrid,Individual,9,61.16402116,25.3905002,8.463500068,19.51686616,Parke5,Davies6
78,HOT,A.ten,PAR5xPAR4,north,Individual,9,87.5,21.65063509,7.216878365,16.64215135,Parke5,Parke4
79,HOT,A.ten,SWI2xDAV1,hybrid,Individual,8,89.28571429,21.25782312,7.51577544,17.77198488,Switzer2,Davies1
80,HOT,A.ten,SWI2xDAV6,hybrid,Individual,9,70,27.16973398,9.056577993,20.8845063,Switzer2,Davies6
81,HOT,A.ten,SWI4xDAV8,hybrid,Individual,10,68.46825397,28.38115286,8.974908567,20.3026537,Switzer4,Davies8
82,HOT,A.ten,SWI4xSWI7,north,Individual,10,64.21428571,24.02496445,7.597360835,17.18642423,Switzer4,Switzer7
83,HOT,A.ten,SWI6xDAV1,hybrid,Individual,9,79.73985891,21.87054413,7.290181378,16.8111884,Switzer6,Davies1
84,HOT,A.ten,SWI6xSWI4,north,Individual,9,68.0026455,23.83062887,7.943542958,18.31784291,Switzer6,Switzer4
85,HOT,A.ten,SWI7xDAV10,hybrid,Individual,8,75.89285714,17.87855859,6.321025007,14.94684903,Switzer7,Davies10
86,HOT,A.ten,SWI7xSWI6,north,Individual,9,63.61111111,32.76600542,10.92200181,25.18618133,Switzer7,Switzer6
