gene,r,p_adj
aten_0.1.m1.10746.m1,-6,1
aten_0.1.m1.10746.m1,-6,1
aten_0.1.m1.3221.m1,0,1
aten_0.1.m1.10487.m1,0,1
aten_0.1.m1.5999.m1,4,1
aten_0.1.m1.2540.m1,0,1
aten_0.1.m1.28932.m1,0,1
aten_0.1.m1.5642.m1,0,1
aten_0.1.m1.15834.m1,0,1
aten_0.1.m1.10986.m1,-7,0.779650108
aten_0.1.m1.10986.m1,-7,0.779650108
aten_0.1.m1.7241.m1,-2,1
aten_0.1.m1.7241.m1,-2,1
aten_0.1.m1.61.m1,0,1
aten_0.1.m1.12519.m1,2,1
aten_0.1.m1.25659.m1,0,1
aten_0.1.m1.3176.m1,-16,0.009021492
aten_0.1.m1.3176.m1,-16,0.009021492
aten_0.1.m1.20358.m1,3,1
aten_0.1.m1.17897.m1,-1,1
aten_0.1.m1.17897.m1,-1,1
aten_0.1.m1.2118.m1,-2,1
aten_0.1.m1.2385.m1,10,0.745503719
aten_0.1.m1.4285.m1,0,1
aten_0.1.m1.19032.m1,-8,0.082841021
aten_0.1.m1.19032.m1,-8,0.082841021
aten_0.1.m1.4256.m1,8,0.831973842
aten_0.1.m1.4256.m1,8,0.831973842
aten_0.1.m1.6439.m1,-2,1
aten_0.1.m1.28292.m1,7,0.823946746
aten_0.1.m1.19540.m1,-10,0.111508339
aten_0.1.m1.3472.m1,1,1
aten_0.1.m1.15329.m1,1,1
aten_0.1.m1.15329.m1,1,1
aten_0.1.m1.5592.m1,2,1
aten_0.1.m1.5592.m1,2,1
aten_0.1.m1.12890.m1,0,1
aten_0.1.m1.12890.m1,0,1
aten_0.1.m1.20952.m1,0,1
aten_0.1.m1.20952.m1,0,1
aten_0.1.m1.24792.m1,0,1
aten_0.1.m1.29846.m1,0,1
aten_0.1.m1.29846.m1,0,1
aten_0.1.m1.13978.m1,0,1
aten_0.1.m1.13978.m1,0,1
aten_0.1.m1.28977.m1,-6,0.225787622
aten_0.1.m1.28977.m1,-6,0.225787622
aten_0.1.m1.15893.m1,0,1
aten_0.1.m1.15893.m1,0,1
aten_0.1.m1.28044.m1,0,1
aten_0.1.m1.28044.m1,0,1
aten_0.1.m1.23983.m1,2,1
aten_0.1.m1.21941.m1,7,0.679571511
aten_0.1.m1.13339.m1,-7,0.98617294
aten_0.1.m1.13339.m1,-7,0.98617294
aten_0.1.m1.28726.m1,0,1
aten_0.1.m1.28726.m1,0,1
aten_0.1.m1.18.m1,8,0.823946746
aten_0.1.m1.18.m1,8,0.823946746
aten_0.1.m1.20955.m1,0,1
aten_0.1.m1.5229.m1,0,1
aten_0.1.m1.1112.m1,0,1
aten_0.1.m1.10106.m1,-10,0.030051604
aten_0.1.m1.10106.m1,-10,0.030051604
aten_0.1.m1.4222.m1,0,1
aten_0.1.m1.27702.m1,0,1
aten_0.1.m1.10670.m1,15,0.315355142
aten_0.1.m1.9098.m1,0,1
aten_0.1.m1.22121.m1,-3,0.823946746
aten_0.1.m1.29815.m1,2,1
aten_0.1.m1.3477.m1,8,0.484738186
aten_0.1.m1.3477.m1,8,0.484738186
aten_0.1.m1.13248.m1,3,1
aten_0.1.m1.13248.m1,3,1
aten_0.1.m1.3795.m1,9,0.507749831
aten_0.1.m1.3794.m1,9,0.507749831
aten_0.1.m1.3155.m1,-7,0.823946746
aten_0.1.m1.19664.m1,4,1
aten_0.1.m1.12344.m1,6,1
aten_0.1.m1.12344.m1,6,1
aten_0.1.m1.9992.m1,2,1
aten_0.1.m1.32155.m1,10,0.439138548
aten_0.1.m1.1745.m1,0,1
aten_0.1.m1.32202.m1,-1,1
aten_0.1.m1.4174.m1,6,0.83694844
aten_0.1.m1.16126.m1,0,1
aten_0.1.m1.16126.m1,0,1
aten_0.1.m1.25626.m1,0,1
aten_0.1.m1.9424.m1,0,1
aten_0.1.m1.8061.m1,0,1
aten_0.1.m1.857.m1,-6,1
aten_0.1.m1.8075.m1,0,1
aten_0.1.m1.8075.m1,0,1
aten_0.1.m1.6016.m1,-8,0.525158778
aten_0.1.m1.6016.m1,-8,0.525158778
aten_0.1.m1.28300.m1,-9,0.320835368
aten_0.1.m1.33439.m1,0,1
aten_0.1.m1.21553.m1,0,1
aten_0.1.m1.18528.m1,1,1
aten_0.1.m1.6765.m1,-14,0.343044049
aten_0.1.m1.30254.m1,0,1
aten_0.1.m1.6120.m1,-8,0.525158778
aten_0.1.m1.19373.m1,0,1
aten_0.1.m1.15131.m1,-10,0.503957807
aten_0.1.m1.2113.m1,0,1
aten_0.1.m1.20279.m1,0,1
aten_0.1.m1.8719.m1,-13,0.458998164
aten_0.1.m1.8719.m1,-13,0.458998164
aten_0.1.m1.16448.m1,-11,0.650103753
aten_0.1.m1.16448.m1,-11,0.650103753
aten_0.1.m1.1801.m1,-6,1
aten_0.1.m1.24653.m1,-9,0.507749831
aten_0.1.m1.19111.m1,5,1
aten_0.1.m1.18754.m1,6,1
aten_0.1.m1.7232.m1,0,1
aten_0.1.m1.30694.m1,0,1
aten_0.1.m1.18518.m1,0,1
aten_0.1.m1.18518.m1,0,1
aten_0.1.m1.5453.m1,0,1
aten_0.1.m1.5453.m1,0,1
aten_0.1.m1.442.m1,0,1
aten_0.1.m1.12017.m1,0,1
aten_0.1.m1.24343.m1,0,1
aten_0.1.m1.24343.m1,0,1
aten_0.1.m1.9141.m1,2,1
aten_0.1.m1.9141.m1,2,1
aten_0.1.m1.14530.m1,0,1
aten_0.1.m1.21596.m1,2,1
aten_0.1.m1.31425.m1,24,0.024409781
aten_0.1.m1.13539.m1,0,1
aten_0.1.m1.13539.m1,0,1
aten_0.1.m1.17238.m1,-7,1
aten_0.1.m1.17238.m1,-7,1
aten_0.1.m1.9725.m1,0,1
aten_0.1.m1.9378.m1,0,1
aten_0.1.m1.15254.m1,-1,1
aten_0.1.m1.6464.m1,-1,1
aten_0.1.m1.28933.m1,0,1
aten_0.1.m1.22353.m1,1,1
aten_0.1.m1.33318.m1,-7,1
aten_0.1.m1.29811.m1,-12,0.287999804
aten_0.1.m1.30700.m1,0,1
aten_0.1.m1.30700.m1,0,1
aten_0.1.m1.8841.m1,5,1
aten_0.1.m1.6120.m1,-6,1
aten_0.1.m1.17555.m1,2,1
aten_0.1.m1.16836.m1,0,1
aten_0.1.m1.23830.m1,4,0.993433057
aten_0.1.m1.23830.m1,4,0.993433057
aten_0.1.m1.27746.m1,12,0.365974035
aten_0.1.m1.6399.m1,-1,1
aten_0.1.m1.12870.m1,0,1
aten_0.1.m1.4299.m1,3,0.823946746
aten_0.1.m1.17781.m1,-1,1
aten_0.1.m1.5108.m1,26,0.01117112
aten_0.1.m1.5030.m1,2,1
aten_0.1.m1.15782.m1,0,1
aten_0.1.m1.15782.m1,0,1
aten_0.1.m1.2519.m1,4,1
aten_0.1.m1.2519.m1,4,1
aten_0.1.m1.12757.m1,0,1
aten_0.1.m1.1027.m1,1,1
aten_0.1.m1.24678.m1,0,1
aten_0.1.m1.24678.m1,0,1
aten_0.1.m1.28326.m1,-3,1
aten_0.1.m1.9598.m1,0,1
aten_0.1.m1.9044.m1,0,1
aten_0.1.m1.9044.m1,0,1
aten_0.1.m1.6874.m1,2,1
aten_0.1.m1.6874.m1,2,1
