Temp,Timepoint,Culture,type,Mom,Dad,mom_origin,dad_origin,region,maternal_mean,maternal_se,N,mean,sd,se,ci
Hot,1,SWI6BulkxDAV6Bulk,bulk,Switzer6Bulk,Davies6Bulk,north,central,NA,NA,NA,6,77.5,12.1449578,4.95815826,12.74535156
Hot,1,SWI6BulkxSWI6Bulk,bulk,Switzer6Bulk,Switzer6Bulk,north,north,NA,NA,NA,6,78.33333333,11.25462868,4.594682917,11.81100845
Hot,1,SWI6xDAV1,individual,Switzer6,Davies1,north,central,NA,NA,NA,3,63.33333333,12.58305739,7.264831573,31.2580474
Hot,1,SWI6xDAV12,individual,Switzer6,Davies12,north,central,NA,NA,NA,3,53.33333333,17.55942292,10.13793755,43.62002468
Hot,1,SWI6xDAV4,individual,Switzer6,Davies4,north,central,NA,NA,NA,0,NA,NA,NA,NA
Hot,1,SWI7xDAV10,individual,Switzer7,Davies10,north,central,NA,NA,NA,3,81.66666667,10.40833,6.009252126,25.85572506
Hot,1,SWI7xSWI6,individual,Switzer7,Switzer6,north,north,NA,NA,NA,3,83.33333333,11.54700538,6.666666667,28.68435153
Hot,1,SWIBulkxJEWBulk,bulk,SwitzerBulk,JewellBulk,north,north,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,SWIBulkxPARBulk,bulk,SwitzerBulk,ParkeBulk,north,north,NA,NA,NA,3,91.66666667,7.637626158,4.409585518,18.97291517
Hot,2,DAV12xDAV1,individual,Davies12,Davies1,central,central,central,23.18,5.47,3,58.33333333,5.773502692,3.333333333,14.34217577
Hot,2,DAV13xDAV1,individual,Davies13,Davies1,central,central,central,23.18,5.47,3,45,15,8.660254038,37.26206568
Hot,2,DAV1xDAV8,individual,Davies1,Davies8,central,central,central,23.18,5.47,3,33.33333333,20.20725942,11.66666667,50.19761518
Hot,2,DAV6xDAV1,individual,Davies6,Davies1,central,central,central,23.18,5.47,3,6.666666667,7.637626158,4.409585518,18.97291517
Hot,2,DAV8xDAV10,individual,Davies8,Davies10,central,central,central,23.18,5.47,3,33.33333333,12.58305739,7.264831573,31.2580474
Hot,2,DAV8xDAV6,individual,Davies8,Davies6,central,central,central,23.18,5.47,3,28.33333333,11.54700538,6.666666667,28.68435153
Hot,2,JEW(bottom)xDAV6bulk,bulk,Jewell(bottom),Davies6bulk,north,central,hybrid,29.65,6.43,6,27.5,15.08310313,6.157651067,15.82874598
Hot,2,JEW2xDAV1,individual,Jewell2,Davies1,north,central,hybrid,29.65,6.43,3,20,5,2.886751346,12.42068856
Hot,2,JEW2xDAV13,individual,Jewell2,Davies13,north,central,hybrid,29.65,6.43,3,38.33333333,5.773502692,3.333333333,14.34217577
Hot,2,JEW2xJEW8,individual,Jewell2,Jewell8,north,north,north,29.65,6.43,3,11.66666667,12.58305739,7.264831573,31.2580474
Hot,2,JEW2xPAL1,individual,Jewell2,Palms1,north,central,hybrid,29.65,6.43,3,23.33333333,12.58305739,7.264831573,31.2580474
Hot,2,JEW2xPAL4,individual,Jewell2,Palms4,north,central,hybrid,29.65,6.43,3,21.66666667,5.773502692,3.333333333,14.34217577
Hot,2,JEW2xPAL5,individual,Jewell2,Palms5,north,central,hybrid,29.65,6.43,3,20,8.660254038,5,21.51326365
Hot,2,JEW3xDAV1,individual,Jewell3,Davies1,north,central,hybrid,29.65,6.43,3,21.26984127,5.462370415,3.15370103,13.56928034
Hot,2,JEW3xPAL1,individual,Jewell3,Palms1,north,central,hybrid,29.65,6.43,3,6.666666667,11.54700538,6.666666667,28.68435153
Hot,2,JEW5xPAL1,individual,Jewell5,Palms1,north,central,hybrid,29.65,6.43,3,20,18.02775638,10.40833,44.78342948
Hot,2,JEW6xDAV1,individual,Jewell6,Davies1,north,central,hybrid,29.65,6.43,3,81.66666667,7.637626158,4.409585518,18.97291517
Hot,2,JEW6xPAL1,individual,Jewell6,Palms1,north,central,hybrid,29.65,6.43,3,85,18.02775638,10.40833,44.78342948
Hot,2,JEW6xPAL4,individual,Jewell6,Palms4,north,central,hybrid,29.65,6.43,3,71.66666667,23.62907813,13.64225462,58.69788408
Hot,2,JEW7xDAV1,individual,Jewell7,Davies1,north,central,hybrid,29.65,6.43,3,81.66666667,23.62907813,13.64225462,58.69788408
Hot,2,JEW8xDAV1,individual,Jewell8,Davies1,north,central,hybrid,29.65,6.43,3,35,21.79449472,12.58305739,54.14052624
Hot,2,JEW8xDAV10,individual,Jewell8,Davies10,north,central,hybrid,29.65,6.43,3,46.66666667,36.17089069,20.88327348,89.85347363
Hot,2,JEW8xDAV13,individual,Jewell8,Davies13,north,central,hybrid,29.65,6.43,3,48.33333333,17.55942292,10.13793755,43.62002468
Hot,2,JEW8xDAV6,individual,Jewell8,Davies6,north,central,hybrid,29.65,6.43,3,11.66666667,10.40833,6.009252126,25.85572506
Hot,2,JEW8xJEW2,individual,Jewell8,Jewell2,north,north,north,29.65,6.43,6,53.33333333,7.527726527,3.073181486,7.899864505
Hot,2,JEW8xJEW3,individual,Jewell8,Jewell3,north,north,north,29.65,6.43,3,50,22.91287847,13.22875656,56.9187455
Hot,2,JEW8xPAL1,individual,Jewell8,Palms1,north,central,hybrid,29.65,6.43,3,65,5,2.886751346,12.42068856
Hot,2,JEW8xPAL4,individual,Jewell8,Palms4,north,central,hybrid,29.65,6.43,3,41.66666667,27.53785274,15.89898669,68.40781848
Hot,2,JEW8xPAL5,individual,Jewell8,Palms5,north,central,hybrid,29.65,6.43,3,28.33333333,2.886751346,1.666666667,7.171087883
