MCMC	Heritability
702	0.948276
703	0.91954
704	0.962644
705	0.994253
706	0.890805
707	0.847701
708	0.91954
709	0.945402
710	0.864943
711	0.882184
712	0.902299
713	0.936782
714	0.965517
715	0.902299
716	0.922414
717	0.83046
718	0.899425
719	0.87931
720	0.979885
721	0.948276
722	0.922414
723	0.761494
724	0.948276
725	0.787356
726	0.931034
727	0.87069
728	0.841954
729	0.971264
730	0.87931
731	0.985632
732	0.79023
733	0.609195
734	0.971264
735	0.928161
736	0.933908
737	0.824713
738	0.968391
739	0.945402
740	0.968391
741	0.928161
742	0.942529
743	0.87069
744	0.931034
745	0.977011
746	0.965517
747	0.767241
748	0.974138
749	0.965517
750	0.936782
751	0.70977
752	0.770115
753	0.936782
754	0.942529
755	0.890805
756	0.985632
757	0.916667
758	0.931034
759	0.936782
760	0.977011
761	0.939655
762	0.813218
763	0.936782
764	0.965517
765	0.933908
766	0.931034
767	0.936782
768	0.991379
769	0.936782
770	0.968391
771	0.977011
772	0.887931
773	0.87931
774	0.933908
775	0.91954
776	0.95977
777	0.833333
778	0.701149
779	0.933908
780	0.982759
781	0.945402
782	0.856322
783	0.933908
784	0.885057
785	0.864943
786	0.890805
787	0.954023
788	0.908046
789	0.804598
790	0.931034
791	0.91092
792	0.95977
793	0.931034
794	0.867816
795	0.867816
796	0.704023
797	0.954023
798	0.902299
799	0.793103
800	0.922414
801	0.908046
802	0.91954
803	0.767241
804	0.885057
805	0.821839
806	0.928161
807	0.876437
808	0.683908
809	0.951149
810	0.936782
811	0.841954
812	0.948276
813	0.87931
814	0.922414
815	0.942529
816	0.962644
817	0.951149
818	0.95977
819	0.968391
820	0.962644
821	0.853448
822	0.977011
823	0.968391
824	0.982759
825	0.925287
826	0.83908
827	0.945402
828	0.956897
829	1
830	0.971264
831	0.945402
832	0.948276
833	0.965517
834	0.643678
835	0.887931
836	0.712644
837	0.916667
838	0.833333
839	0.87931
840	0.982759
841	0.982759
842	0.841954
843	0.936782
844	0.971264
845	0.913793
846	0.859195
847	0.982759
848	0.931034
849	0.951149
850	0.925287
851	0.965517
852	0.977011
853	0.931034
854	0.931034
855	0.939655
856	0.982759
857	0.951149
858	0.956897
859	1
860	0.951149
861	0.87931
862	0.87069
863	0.982759
864	0.727011
865	0.968391
866	0.985632
867	0.807471
868	0.91954
869	0.936782
870	0.965517
871	0.896552
872	0.899425
873	0.948276
874	0.778736
875	0.942529
876	0.971264
877	0.942529
878	0.936782
879	0.997126
880	0.936782
881	0.979885
882	0.942529
883	0.744253
884	0.755747
885	0.755747
886	0.916667
887	0.91092
888	0.925287
889	0.902299
890	0.821839
891	0.925287
892	0.913793
893	0.899425
894	0.908046
895	0.864943
896	0.968391
897	0.928161
898	0.933908
899	0.91954
900	0.933908
901	0.795977
902	0.91092
903	0.729885
904	0.813218
905	0.954023
906	0.735632
907	0.683908
908	0.933908
909	0.761494
910	0.91092
911	0.686782
912	0.931034
913	0.974138
914	0.804598
915	0.956897
916	0.945402
917	0.885057
918	0.939655
919	0.994253
920	0.916667
921	0.95977
922	0.951149
923	0.982759
924	0.942529
925	0.873563
926	0.79023
927	0.954023
928	0.876437
929	0.591954
930	0.95977
931	0.942529
932	0.962644
933	0.916667
934	0.977011
935	0.91954
936	0.931034
937	0.836207
938	0.942529
939	0.925287
940	0.971264
941	0.867816
942	0.893678
943	0.968391
944	0.873563
945	0.747126
946	0.977011
947	0.732759
948	0.931034
949	0.95977
950	0.991379
951	0.902299
952	0.890805
953	0.890805
954	0.913793
955	0.965517
956	0.916667
957	0.954023
958	0.971264
959	0.890805
960	0.931034
961	1
962	0.758621
963	0.83046
964	0.804598
965	0.962644
966	0.971264
967	0.962644
968	0.867816
969	0.945402
970	0.87931
971	0.942529
972	0.951149
973	0.922414
974	0.862069
975	0.985632
976	0.942529
977	0.954023
978	0.87069
979	0.864943
980	0.844828
981	0.729885
982	0.954023
983	0.925287
984	0.971264
985	0.824713
986	0.971264
987	0.721264
988	0.95977
989	0.994253
990	1
991	0.862069
992	0.91954
993	0.925287
994	1
995	0.933908
996	0.954023
997	0.87069
998	0.936782
999	0.968391
1000	0.781609
1001	0.965517
1002	0.982759
1003	0.896552
1004	0.962644
1005	0.968391
1006	0.954023
1007	0.882184
1008	0.867816
1009	0.847701
1010	0.951149
1011	0.965517
1012	0.982759
1013	1
1014	0.945402
1015	0.956897
1016	0.954023
1017	0.933908
1018	0.942529
1019	0.70977
1020	0.864943
1021	0.939655
1022	0.979885
1023	0.936782
1024	0.902299
1025	0.968391
1026	0.951149
1027	0.979885
1028	0.856322
1029	0.962644
1030	0.91092
1031	0.965517
1032	0.902299
1033	0.936782
1034	0.741379
1035	0.977011
1036	0.913793
1037	0.916667
1038	0.856322
1039	0.942529
1040	0.95977
1041	0.643678
1042	0.916667
1043	0.977011
