Temp,Timepoint,popcross2,popcross,region,type,N,mean,sd,se,ci
Ambient,2,SwitzerxSwitzer,SWIxSWI,north,individuals,6,99.20634921,1.944039478,0.793650793,2.040144313
Hot,0,DaviesxDavies,DAVxDAV,central,individuals,18,100,0,0,0
Hot,0,JewellBulkxParkeBulk,JEWBulkxPARBulk,NA,bulk,3,100,0,0,0
Hot,0,JewellBulkxSwitzerBulk,JEWBulkxSWIBulk,NA,bulk,3,100,0,0,0
Hot,0,JewellxDavies,JEWxDAV,hybrid,individuals,27,100,0,0,0
Hot,0,JewellxJewell,JEWxJEW,north,individuals,12,100,0,0,0
Hot,0,JewellxPalms,JEWxPAL,hybrid,individuals,30,100,0,0,0
Hot,0,PalmsxDavies,PALxDAV,central,individuals,6,100,0,0,0
Hot,0,PalmsxPalms,PALxPAL,central,individuals,9,100,0,0,0
Hot,0,ParkeBulkxJewellBulk,PARBulkxJEWBulk,NA,bulk,3,100,0,0,0
Hot,0,ParkeBulkxSwitzerBulk,PARBulkxSWIBulk,NA,bulk,3,100,0,0,0
Hot,0,ParkexDavies,PARxDAV,hybrid,individuals,12,100,0,0,0
Hot,0,ParkexParke,PARxPAR,north,individuals,9,100,0,0,0
Hot,0,SwitzerBulkxJewellBulk,SWIBulkxJEWBulk,NA,bulk,3,100,0,0,0
Hot,0,SwitzerBulkxParkeBulk,SWIBulkxPARBulk,NA,bulk,3,100,0,0,0
Hot,0,SwitzerxDavies,SWIxDAV,hybrid,individuals,27,100,0,0,0
Hot,0,SwitzerxSwitzer,SWIxSWI,north,individuals,12,100,0,0,0
Hot,1,DaviesxDavies,DAVxDAV,central,individuals,18,91.38888889,11.08862103,2.613613041,5.514241509
Hot,1,JewellBulkxParkeBulk,JEWBulkxPARBulk,NA,bulk,3,95,5,2.886751346,12.42068856
Hot,1,JewellBulkxSwitzerBulk,JEWBulkxSWIBulk,NA,bulk,3,100,0,0,0
Hot,1,JewellxDavies,JEWxDAV,hybrid,individuals,27,94.81481481,9.144300608,1.759821473,3.617364844
Hot,1,JewellxJewell,JEWxJEW,north,individuals,12,95.41666667,4.501683187,1.299524,2.860233039
Hot,1,JewellxPalms,JEWxPAL,hybrid,individuals,30,94.33333333,5.83292281,1.064941133,2.178049172
Hot,1,PalmsxDavies,PALxDAV,central,individuals,6,86.66666667,11.69045194,4.772607021,12.26837692
Hot,1,PalmsxPalms,PALxPAL,central,individuals,9,90.55555556,6.346477588,2.115492529,4.878334521
Hot,1,ParkeBulkxJewellBulk,PARBulkxJEWBulk,NA,bulk,3,100,0,0,0
Hot,1,ParkeBulkxSwitzerBulk,PARBulkxSWIBulk,NA,bulk,3,100,0,0,0
Hot,1,ParkexDavies,PARxDAV,hybrid,individuals,12,92.5,8.660254038,2.5,5.5024629
Hot,1,ParkexParke,PARxPAR,north,individuals,9,95.55555556,6.82112731,2.273709103,5.243182594
Hot,1,SwitzerBulkxJewellBulk,SWIBulkxJEWBulk,NA,bulk,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,SwitzerBulkxParkeBulk,SWIBulkxPARBulk,NA,bulk,3,91.66666667,7.637626158,4.409585518,18.97291517
Hot,1,SwitzerxDavies,SWIxDAV,hybrid,individuals,27,70,24.01922307,4.622501635,9.501688191
Hot,1,SwitzerxSwitzer,SWIxSWI,north,individuals,12,64.58333333,17.38054468,5.017331074,11.04307124
Hot,2,DaviesxDavies,DAVxDAV,central,individuals,18,34.16666667,19.57263997,4.613315482,9.73324487
Hot,2,JewellBulkxParkeBulk,JEWBulkxPARBulk,NA,bulk,3,60.95238095,16.44926233,9.496986035,40.86223289
Hot,2,JewellBulkxSwitzerBulk,JEWBulkxSWIBulk,NA,bulk,3,78.22222222,18.87188777,10.89568949,46.88036811
Hot,2,JewellxDavies,JEWxDAV,hybrid,individuals,27,42.73368607,28.49450652,5.483770337,11.27205136
Hot,2,JewellxJewell,JEWxJEW,north,individuals,12,42.08333333,22.1008364,6.379961923,14.04220151
Hot,2,JewellxPalms,JEWxPAL,hybrid,individuals,30,38.33333333,28.56732319,5.215655772,10.66721379
Hot,2,PalmsxDavies,PALxDAV,central,individuals,6,9.166666667,8.612007122,3.515837185,9.037747205
Hot,2,PalmsxPalms,PALxPAL,central,individuals,9,10.55555556,10.73674894,3.578916313,8.252995817
Hot,2,ParkeBulkxJewellBulk,PARBulkxJEWBulk,NA,bulk,3,61.50197629,1.898879393,1.096318529,4.71707791
Hot,2,ParkeBulkxSwitzerBulk,PARBulkxSWIBulk,NA,bulk,3,65.63492063,17.79566136,10.27432987,44.20687348
Hot,2,ParkexDavies,PARxDAV,hybrid,individuals,12,17.5,26.1551316,7.550336135,16.61817779
Hot,2,ParkexParke,PARxPAR,north,individuals,9,14.86772487,14.90574654,4.96858218,11.45757105
Hot,2,SwitzerBulkxJewellBulk,SWIBulkxJEWBulk,NA,bulk,3,53.62318841,11.80603586,6.816217981,29.3278189
Hot,2,SwitzerBulkxParkeBulk,SWIBulkxPARBulk,NA,bulk,3,36.66666667,10.40833,6.009252126,25.85572506
Hot,2,SwitzerxDavies,SWIxDAV,hybrid,individuals,15,12.33333333,10.49943309,2.710941967,5.814392243
Hot,2,SwitzerxSwitzer,SWIxSWI,north,individuals,6,4.166666667,5.845225972,2.386303511,6.134188459
