gene,r
aten_0.1.m1.33031.m1,0.615094269
aten_0.1.m1.33026.m1,0.615094269
aten_0.1.m1.20866.m1,0.079713588
aten_0.1.m1.20867.m1,0.079713588
aten_0.1.m1.18546.m1,-0.001765398
aten_0.1.m1.37337.m1,0
aten_0.1.m1.37340.m1,0
aten_0.1.m1.9203.m1,0
aten_0.1.m1.16749.m1,0
aten_0.1.m1.28038.m1,0
aten_0.1.m1.28036.m1,0
aten_0.1.m1.36338.m1,0.100615815
aten_0.1.m1.36337.m1,0.100615815
aten_0.1.m1.28778.m1,0
aten_0.1.m1.28117.m1,0
aten_0.1.m1.28119.m1,0
aten_0.1.m1.9897.m1,0
aten_0.1.m1.9894.m1,0
aten_0.1.m1.9895.m1,0
aten_0.1.m1.23646.m1,0.104860149
aten_0.1.m1.23640.m1,0.104860149
aten_0.1.m1.15401.m1,0.006451696
aten_0.1.m1.15409.m1,0.006451696
aten_0.1.m1.15400.m1,0.006451696
aten_0.1.m1.19647.m1,0
aten_0.1.m1.19641.m1,0
aten_0.1.m1.19646.m1,0
aten_0.1.m1.19643.m1,0
aten_0.1.m1.19475.m1,0.184548527
aten_0.1.m1.19479.m1,0.184548527
aten_0.1.m1.26046.m1,0
aten_0.1.m1.31059.m1,0
aten_0.1.m1.31064.m1,0
aten_0.1.m1.33634.m1,0.066236296
aten_0.1.m1.33640.m1,0.066236296
aten_0.1.m1.33639.m1,0.066236296
aten_0.1.m1.33632.m1,0.066236296
aten_0.1.m1.11042.m1,0
aten_0.1.m1.13594.m1,0.020410997
aten_0.1.m1.13590.m1,0.020410997
aten_0.1.m1.5639.m1,-0.012739526
aten_0.1.m1.31484.m1,0
aten_0.1.m1.31489.m1,0
aten_0.1.m1.9647.m1,0.384185574
aten_0.1.m1.9660.m1,0.384185574
aten_0.1.m1.9666.m1,0.384185574
aten_0.1.m1.598.m1,0
aten_0.1.m1.9278.m1,-0.036018298
aten_0.1.m1.2540.m1,0
aten_0.1.m1.16895.m1,0
aten_0.1.m1.19696.m1,0.30199703
aten_0.1.m1.19698.m1,0.30199703
aten_0.1.m1.2096.m1,0
aten_0.1.m1.26333.m1,0
aten_0.1.m1.28558.m1,0
aten_0.1.m1.28565.m1,0
aten_0.1.m1.28571.m1,0
aten_0.1.m1.9393.m1,0.107919415
aten_0.1.m1.10907.m1,0.116597705
aten_0.1.m1.10911.m1,0.116597705
