"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
195 0.568626509287597 3 3 "GO:0004843;GO:0008242;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.974549712503681
8 0.985180775887368 5 2 "GO:0004854;GO:0016726" "xanthine dehydrogenase activity" 0.997887460183374
-49 0.749482361673516 4 15 "GO:0004866;GO:0030414;GO:0061135;GO:0004857;GO:0061134" "enzyme inhibitor activity" 0.997887460183374
120 0.542249702812793 3 9 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.974549712503681
-829 0.0473399126712785 2 2 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.776481227498345
165 0.377821965940061 3 10 "GO:0004890" "GABA-A receptor activity" 0.974549712503681
10 0.7882980060075 2 272 "GO:0004930;GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.997887460183374
-237 0.149285468085784 4 13 "GO:0004935" "adrenergic receptor activity" 0.93196351541246
-143 0.522368999944106 7 7 "GO:0004939" "beta-adrenergic receptor activity" 0.974549712503681
-345 0.192059760403068 2 5 "GO:0004940" "beta1-adrenergic receptor activity" 0.974549712503681
362 0.386929720096037 2 2 "GO:0004941" "beta2-adrenergic receptor activity" 0.974549712503681
2 0.992570473938436 3 14 "GO:0004965" "G protein-coupled GABA receptor activity" 0.997887460183374
8 0.985180775887368 6 2 "GO:0004966" "galanin receptor activity" 0.997887460183374
-83 0.843728699366147 4 2 "GO:0004970;GO:0022824;GO:0005230;GO:0022835" "transmitter-gated ion channel activity" 0.997887460183374
-403 0.0409144201235031 2 9 "GO:0004977" "melanocortin receptor activity" 0.776481227498345
-592 0.0141299759387114 5 6 "GO:0004980" "melanocyte-stimulating hormone receptor activity" 0.776481227498345
62 0.796435132884353 2 6 "GO:0004983" "neuropeptide Y receptor activity" 0.997887460183374
213 0.532370389324927 2 3 "GO:0004989" "octopamine receptor activity" 0.974549712503681
-330 0.43040124792075 5 2 "GO:0004993;GO:0099589" "G protein-coupled serotonin receptor activity" 0.974549712503681
256 0.084139120308656 5 16 "GO:0004995" "tachykinin receptor activity" 0.822985770519042
384 0.146916655749592 5 5 "GO:0005001;GO:0019198" "transmembrane receptor protein tyrosine phosphatase activity" 0.93196351541246
-247 0.402503589486337 3 4 "GO:0005007" "fibroblast growth factor-activated receptor activity" 0.974549712503681
-167 0.623911834353105 4 3 "GO:0005035" "death receptor activity" 0.976275859448842
-351 0.303445906607895 2 3 "GO:0005042" "netrin receptor activity" 0.974549712503681
-134 0.364214229089688 2 16 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.974549712503681
-835 0.0456922064365454 -1 2 "GO:0005070" "obsolete SH3/SH2 adaptor activity" 0.776481227498345
-48 0.806010068291528 2 9 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.997887460183374
-45 0.792290159556108 3 12 "GO:0005096;GO:0008047" "enzyme activator activity" 0.997887460183374
25 0.711501026593031 3 77 "GO:0005102" "signaling receptor binding" 0.997887460183374
387 0.354282884663178 5 2 "GO:0005104;GO:0070851" "fibroblast growth factor receptor binding" 0.974549712503681
-46 0.692144270161007 5 26 "GO:0005109;GO:0001664" "G protein-coupled receptor binding" 0.997887460183374
-11 0.97992330609974 2 2 "GO:0005125" "cytokine activity" 0.997887460183374
368 0.100048841588139 4 7 "GO:0005164;GO:0032813;GO:0005126" "cytokine receptor binding" 0.846801780754555
464 0.0379039466239326 4 7 "GO:0005176" "ErbB-2 class receptor binding" 0.776481227498345
-330 0.43040124792075 5 2 "GO:0005179" "hormone activity" 0.974549712503681
-440 0.292460927553664 2 2 "GO:0005200" "structural constituent of cytoskeleton" 0.974549712503681
-54 0.359903817809359 2 104 "GO:0005201;GO:0005198" "structural molecule activity" 0.974549712503681
0 0.994679938286343 1 127 "GO:0005215;GO:0015075;GO:0022857;GO:0015318" "transporter activity" 0.997887460183374
8 0.981651267637342 2 3 "GO:0005217" "intracellular ligand-gated ion channel activity" 0.997887460183374
8 0.985180775887368 5 2 "GO:0005222;GO:0005221;GO:0043855" "intracellular cAMP-activated cation channel activity" 0.997887460183374
-134 0.613209372700004 2 5 "GO:0005229;GO:0022839;GO:0061778" "ion gated channel activity" 0.974549712503681
-88 0.832959708625324 4 2 "GO:0005242" "inward rectifier potassium channel activity" 0.997887460183374
-313 0.0672679490861486 2 12 "GO:0005245" "voltage-gated calcium channel activity" 0.811089933376911
362 0.386929720096037 3 2 "GO:0005246;GO:0099106;GO:0016247" "calcium channel regulator activity" 0.974549712503681
-177 0.672286011573815 3 2 "GO:0005247;GO:0008308" "voltage-gated anion channel activity" 0.993471855350615
-65 0.651196091660557 3 17 "GO:0005249;GO:0005267;GO:0015079" "potassium channel activity" 0.993471855350615
-127 0.543701080507274 3 8 "GO:0005254;GO:0005253;GO:0015108;GO:0015103" "inorganic anion transmembrane transporter activity" 0.974549712503681
-74 0.281285898984763 5 76 "GO:0005261;GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.974549712503681
-87 0.415871165088498 2 31 "GO:0005262;GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 0.974549712503681
-20 0.934871541923733 4 6 "GO:0005272" "sodium channel activity" 0.997887460183374
136 0.543005646607261 5 7 "GO:0005313;GO:0015172;GO:0015245;GO:0008028" "monocarboxylic acid transmembrane transporter activity" 0.974549712503681
